ffmpeg version 7.1.2-0+deb13u1 Copyright (c) 2000-2025 the FFmpeg developers
  built with gcc 14 (Debian 14.2.0-19)
  configuration: --prefix=/usr --extra-version=0+deb13u1 --toolchain=hardened --libdir=/usr/lib/x86_64-linux-gnu --incdir=/usr/include/x86_64-linux-gnu --arch=amd64 --enable-gpl --disable-stripping --disable-libmfx --disable-omx --enable-gnutls --enable-libaom --enable-libass --enable-libbs2b --enable-libcdio --enable-libcodec2 --enable-libdav1d --enable-libflite --enable-libfontconfig --enable-libfreetype --enable-libfribidi --enable-libglslang --enable-libgme --enable-libgsm --enable-libharfbuzz --enable-libmp3lame --enable-libmysofa --enable-libopenjpeg --enable-libopenmpt --enable-libopus --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libtheora --enable-libtwolame --enable-libvidstab --enable-libvorbis --enable-libvpx --enable-libwebp --enable-libx265 --enable-libxml2 --enable-libxvid --enable-libzimg --enable-openal --enable-opencl --enable-opengl --disable-sndio --enable-libvpl --enable-libdc1394 --enable-libdrm --enable-libiec61883 --enable-chromaprint --enable-frei0r --enable-ladspa --enable-libbluray --enable-libcaca --enable-libdvdnav --enable-libdvdread --enable-libjack --enable-libpulse --enable-librabbitmq --enable-librist --enable-libsrt --enable-libssh --enable-libsvtav1 --enable-libx264 --enable-libzmq --enable-libzvbi --enable-lv2 --enable-sdl2 --enable-libplacebo --enable-librav1e --enable-pocketsphinx --enable-librsvg --enable-libjxl --enable-shared
  libavutil      59. 39.100 / 59. 39.100
  libavcodec     61. 19.101 / 61. 19.101
  libavformat    61.  7.100 / 61.  7.100
  libavdevice    61.  3.100 / 61.  3.100
  libavfilter    10.  4.100 / 10.  4.100
  libswscale      8.  3.100 /  8.  3.100
  libswresample   5.  3.100 /  5.  3.100
  libpostproc    58.  3.100 / 58.  3.100
Input #0, concat, from '/app/tmp/list_cam_08.txt':
  Duration: N/A, start: 0.000000, bitrate: 5190 kb/s
  Stream #0:0: Video: mjpeg (Baseline) (MJPG / 0x47504A4D), yuvj420p(pc, bt470bg/unknown/unknown), 320x240, 5190 kb/s, 30 fps, 30 tbr, 30 tbn
Input #1, lavfi, from 'anullsrc=channel_layout=stereo:sample_rate=44100':
  Duration: N/A, start: 0.000000, bitrate: 705 kb/s
  Stream #1:0: Audio: pcm_u8, 44100 Hz, stereo, u8, 705 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (mjpeg (native) -> h264 (libx264))
  Stream #1:0 -> #0:1 (pcm_u8 (native) -> aac (native))
Press [q] to stop, [?] for help
[swscaler @ 0x7fbe180145c0] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 0x559909adfd00] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2
[libx264 @ 0x559909adfd00] profile Constrained Baseline, level 2.2, 4:2:0, 8-bit
[libx264 @ 0x559909adfd00] 264 - core 164 r3108 31e19f9 - H.264/MPEG-4 AVC codec - Copyleft 2003-2023 - http://www.videolan.org/x264.html - options: cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0x111 me=hex subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=7 lookahead_threads=7 sliced_threads=1 slices=7 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=0 rc=cbr mbtree=0 bitrate=600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=600 vbv_bufsize=1200 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
Output #0, rtsp, to 'rtsp://mediamtx:8554/cam_08':
  Metadata:
    encoder         : Lavf61.7.100
  Stream #0:0: Video: h264, yuv420p(pc, bt470bg/unknown/unknown, progressive), 640x480, q=2-31, 600 kb/s, 15 fps, 90k tbn
      Metadata:
        encoder         : Lavc61.19.101 libx264
      Side data:
        cpb: bitrate max/min/avg: 600000/0/600000 buffer size: 1200000 vbv_delay: N/A
  Stream #0:1: Audio: aac (LC), 44100 Hz, stereo, fltp, 64 kb/s
      Metadata:
        encoder         : Lavc61.19.101 aac
frame=   17 fps=0.0 q=20.0 size=N/A time=00:00:01.13 bitrate=N/A dup=0 drop=13 speed=2.27x    
frame=   24 fps= 24 q=21.0 size=N/A time=00:00:01.60 bitrate=N/A dup=0 drop=20 speed= 1.6x    
frame=   32 fps= 21 q=21.0 size=N/A time=00:00:02.13 bitrate=N/A dup=0 drop=28 speed=1.42x    
frame=   39 fps= 19 q=19.0 size=N/A time=00:00:02.60 bitrate=N/A dup=0 drop=36 speed= 1.3x    
frame=   47 fps= 19 q=19.0 size=N/A time=00:00:03.13 bitrate=N/A dup=0 drop=43 speed=1.25x    
frame=   55 fps= 18 q=18.0 size=N/A time=00:00:03.66 bitrate=N/A dup=0 drop=51 speed=1.22x    
frame=   62 fps= 18 q=19.0 size=N/A time=00:00:04.13 bitrate=N/A dup=0 drop=58 speed=1.18x    
frame=   70 fps= 17 q=18.0 size=N/A time=00:00:04.66 bitrate=N/A dup=0 drop=66 speed=1.16x    
frame=   77 fps= 17 q=18.0 size=N/A time=00:00:05.13 bitrate=N/A dup=0 drop=73 speed=1.14x    
frame=   85 fps= 17 q=24.0 size=N/A time=00:00:05.66 bitrate=N/A dup=0 drop=81 speed=1.13x    
frame=   92 fps= 17 q=23.0 size=N/A time=00:00:06.13 bitrate=N/A dup=0 drop=88 speed=1.11x    
frame=  100 fps= 17 q=26.0 size=N/A time=00:00:06.66 bitrate=N/A dup=0 drop=96 speed=1.11x    
frame=  107 fps= 16 q=26.0 size=N/A time=00:00:07.13 bitrate=N/A dup=0 drop=103 speed=1.09x    
frame=  115 fps= 16 q=28.0 size=N/A time=00:00:07.66 bitrate=N/A dup=0 drop=111 speed=1.09x    
frame=  122 fps= 16 q=27.0 size=N/A time=00:00:08.13 bitrate=N/A dup=0 drop=118 speed=1.08x    
frame=  130 fps= 16 q=27.0 size=N/A time=00:00:08.66 bitrate=N/A dup=0 drop=126 speed=1.08x    
frame=  137 fps= 16 q=26.0 size=N/A time=00:00:09.13 bitrate=N/A dup=0 drop=133 speed=1.07x    
frame=  145 fps= 16 q=28.0 size=N/A time=00:00:09.66 bitrate=N/A dup=0 drop=141 speed=1.07x    
frame=  152 fps= 16 q=28.0 size=N/A time=00:00:10.13 bitrate=N/A dup=0 drop=148 speed=1.06x    
frame=  160 fps= 16 q=22.0 size=N/A time=00:00:10.66 bitrate=N/A dup=0 drop=156 speed=1.06x    
frame=  167 fps= 16 q=21.0 size=N/A time=00:00:11.13 bitrate=N/A dup=0 drop=163 speed=1.06x    
frame=  175 fps= 16 q=21.0 size=N/A time=00:00:11.66 bitrate=N/A dup=0 drop=171 speed=1.06x    
frame=  182 fps= 16 q=21.0 size=N/A time=00:00:12.13 bitrate=N/A dup=0 drop=178 speed=1.05x    
frame=  190 fps= 16 q=23.0 size=N/A time=00:00:12.66 bitrate=N/A dup=0 drop=186 speed=1.05x    
frame=  197 fps= 16 q=21.0 size=N/A time=00:00:13.13 bitrate=N/A dup=0 drop=193 speed=1.05x    
frame=  205 fps= 16 q=21.0 size=N/A time=00:00:13.66 bitrate=N/A dup=0 drop=201 speed=1.05x    
frame=  212 fps= 16 q=21.0 size=N/A time=00:00:14.13 bitrate=N/A dup=0 drop=208 speed=1.04x    
frame=  220 fps= 16 q=17.0 size=N/A time=00:00:14.66 bitrate=N/A dup=0 drop=216 speed=1.05x    
frame=  227 fps= 16 q=18.0 size=N/A time=00:00:15.13 bitrate=N/A dup=0 drop=223 speed=1.04x    
frame=  235 fps= 16 q=24.0 size=N/A time=00:00:15.66 bitrate=N/A dup=0 drop=231 speed=1.04x    
frame=  246 fps= 16 q=25.0 size=N/A time=00:00:16.40 bitrate=N/A dup=0 drop=242 speed=1.04x    
frame=  254 fps= 16 q=25.0 size=N/A time=00:00:16.93 bitrate=N/A dup=0 drop=250 speed=1.04x    
frame=  261 fps= 16 q=27.0 size=N/A time=00:00:17.40 bitrate=N/A dup=0 drop=257 speed=1.04x    
frame=  269 fps= 16 q=27.0 size=N/A time=00:00:17.93 bitrate=N/A dup=0 drop=265 speed=1.04x    
frame=  276 fps= 16 q=27.0 size=N/A time=00:00:18.40 bitrate=N/A dup=0 drop=273 speed=1.03x    
frame=  284 fps= 16 q=26.0 size=N/A time=00:00:18.93 bitrate=N/A dup=0 drop=280 speed=1.03x    
frame=  292 fps= 16 q=27.0 size=N/A time=00:00:19.46 bitrate=N/A dup=0 drop=288 speed=1.04x    
frame=  299 fps= 15 q=28.0 size=N/A time=00:00:19.93 bitrate=N/A dup=0 drop=295 speed=1.03x    
frame=  307 fps= 15 q=23.0 size=N/A time=00:00:20.46 bitrate=N/A dup=0 drop=303 speed=1.03x    
frame=  314 fps= 15 q=22.0 size=N/A time=00:00:20.93 bitrate=N/A dup=0 drop=310 speed=1.03x    
frame=  322 fps= 15 q=22.0 size=N/A time=00:00:21.46 bitrate=N/A dup=0 drop=318 speed=1.03x    
frame=  329 fps= 15 q=21.0 size=N/A time=00:00:21.93 bitrate=N/A dup=0 drop=325 speed=1.03x    
frame=  337 fps= 15 q=22.0 size=N/A time=00:00:22.46 bitrate=N/A dup=0 drop=333 speed=1.03x    
frame=  344 fps= 15 q=21.0 size=N/A time=00:00:22.93 bitrate=N/A dup=0 drop=340 speed=1.03x    
frame=  352 fps= 15 q=21.0 size=N/A time=00:00:23.46 bitrate=N/A dup=0 drop=348 speed=1.03x    
frame=  359 fps= 15 q=21.0 size=N/A time=00:00:23.93 bitrate=N/A dup=0 drop=355 speed=1.03x    
frame=  367 fps= 15 q=21.0 size=N/A time=00:00:24.46 bitrate=N/A dup=0 drop=363 speed=1.03x    
frame=  374 fps= 15 q=18.0 size=N/A time=00:00:24.93 bitrate=N/A dup=0 drop=370 speed=1.03x    
frame=  382 fps= 15 q=25.0 size=N/A time=00:00:25.46 bitrate=N/A dup=0 drop=378 speed=1.03x    
frame=  389 fps= 15 q=24.0 size=N/A time=00:00:25.93 bitrate=N/A dup=0 drop=385 speed=1.02x    
frame=  397 fps= 15 q=25.0 size=N/A time=00:00:26.46 bitrate=N/A dup=0 drop=393 speed=1.03x    
frame=  404 fps= 15 q=25.0 size=N/A time=00:00:26.93 bitrate=N/A dup=0 drop=400 speed=1.02x    
frame=  412 fps= 15 q=27.0 size=N/A time=00:00:27.46 bitrate=N/A dup=0 drop=408 speed=1.02x    
frame=  419 fps= 15 q=27.0 size=N/A time=00:00:27.93 bitrate=N/A dup=0 drop=415 speed=1.02x    
frame=  427 fps= 15 q=28.0 size=N/A time=00:00:28.46 bitrate=N/A dup=0 drop=423 speed=1.02x    
frame=  434 fps= 15 q=26.0 size=N/A time=00:00:28.93 bitrate=N/A dup=0 drop=430 speed=1.02x    
frame=  442 fps= 15 q=27.0 size=N/A time=00:00:29.46 bitrate=N/A dup=0 drop=438 speed=1.02x    
frame=  449 fps= 15 q=28.0 size=N/A time=00:00:29.93 bitrate=N/A dup=0 drop=445 speed=1.02x    
frame=  457 fps= 15 q=23.0 size=N/A time=00:00:30.46 bitrate=N/A dup=0 drop=453 speed=1.02x    
frame=  464 fps= 15 q=23.0 size=N/A time=00:00:30.93 bitrate=N/A dup=0 drop=460 speed=1.02x    
frame=  472 fps= 15 q=22.0 size=N/A time=00:00:31.46 bitrate=N/A dup=0 drop=468 speed=1.02x    
frame=  479 fps= 15 q=21.0 size=N/A time=00:00:31.93 bitrate=N/A dup=0 drop=476 speed=1.02x    
frame=  487 fps= 15 q=22.0 size=N/A time=00:00:32.46 bitrate=N/A dup=0 drop=483 speed=1.02x    
frame=  495 fps= 15 q=22.0 size=N/A time=00:00:33.00 bitrate=N/A dup=0 drop=491 speed=1.02x    
frame=  502 fps= 15 q=21.0 size=N/A time=00:00:33.46 bitrate=N/A dup=0 drop=498 speed=1.02x    
frame=  510 fps= 15 q=21.0 size=N/A time=00:00:34.00 bitrate=N/A dup=0 drop=506 speed=1.02x    
frame=  517 fps= 15 q=21.0 size=N/A time=00:00:34.46 bitrate=N/A dup=0 drop=513 speed=1.02x    
frame=  525 fps= 15 q=19.0 size=N/A time=00:00:35.00 bitrate=N/A dup=0 drop=521 speed=1.02x    
frame=  532 fps= 15 q=25.0 size=N/A time=00:00:35.46 bitrate=N/A dup=0 drop=528 speed=1.02x    
frame=  540 fps= 15 q=24.0 size=N/A time=00:00:36.00 bitrate=N/A dup=0 drop=536 speed=1.02x    
frame=  547 fps= 15 q=25.0 size=N/A time=00:00:36.46 bitrate=N/A dup=0 drop=543 speed=1.02x    
frame=  555 fps= 15 q=26.0 size=N/A time=00:00:37.00 bitrate=N/A dup=0 drop=551 speed=1.02x    
frame=  562 fps= 15 q=27.0 size=N/A time=00:00:37.46 bitrate=N/A dup=0 drop=558 speed=1.02x    
frame=  570 fps= 15 q=27.0 size=N/A time=00:00:38.00 bitrate=N/A dup=0 drop=566 speed=1.02x    
frame=  577 fps= 15 q=28.0 size=N/A time=00:00:38.46 bitrate=N/A dup=0 drop=573 speed=1.02x    
frame=  585 fps= 15 q=26.0 size=N/A time=00:00:39.00 bitrate=N/A dup=0 drop=581 speed=1.02x    
frame=  592 fps= 15 q=27.0 size=N/A time=00:00:39.46 bitrate=N/A dup=0 drop=588 speed=1.02x    
frame=  600 fps= 15 q=28.0 size=N/A time=00:00:40.00 bitrate=N/A dup=0 drop=596 speed=1.02x    
frame=  607 fps= 15 q=23.0 size=N/A time=00:00:40.46 bitrate=N/A dup=0 drop=603 speed=1.02x    
frame=  615 fps= 15 q=22.0 size=N/A time=00:00:41.00 bitrate=N/A dup=0 drop=611 speed=1.02x    
frame=  622 fps= 15 q=22.0 size=N/A time=00:00:41.46 bitrate=N/A dup=0 drop=618 speed=1.01x    
frame=  630 fps= 15 q=22.0 size=N/A time=00:00:42.00 bitrate=N/A dup=0 drop=626 speed=1.02x    
frame=  637 fps= 15 q=22.0 size=N/A time=00:00:42.46 bitrate=N/A dup=0 drop=633 speed=1.01x    
frame=  645 fps= 15 q=22.0 size=N/A time=00:00:43.00 bitrate=N/A dup=0 drop=641 speed=1.02x    
frame=  652 fps= 15 q=21.0 size=N/A time=00:00:43.46 bitrate=N/A dup=0 drop=648 speed=1.01x    
frame=  660 fps= 15 q=21.0 size=N/A time=00:00:44.00 bitrate=N/A dup=0 drop=656 speed=1.01x    
frame=  667 fps= 15 q=21.0 size=N/A time=00:00:44.46 bitrate=N/A dup=0 drop=663 speed=1.01x    
frame=  675 fps= 15 q=19.0 size=N/A time=00:00:45.00 bitrate=N/A dup=0 drop=671 speed=1.01x    
frame=  682 fps= 15 q=25.0 size=N/A time=00:00:45.46 bitrate=N/A dup=0 drop=678 speed=1.01x    
frame=  690 fps= 15 q=24.0 size=N/A time=00:00:46.00 bitrate=N/A dup=0 drop=686 speed=1.01x    
frame=  703 fps= 15 q=25.0 size=N/A time=00:00:46.86 bitrate=N/A dup=0 drop=699 speed=1.01x    
frame=  710 fps= 15 q=27.0 size=N/A time=00:00:47.33 bitrate=N/A dup=0 drop=706 speed=1.01x    
frame=  718 fps= 15 q=27.0 size=N/A time=00:00:47.86 bitrate=N/A dup=0 drop=714 speed=1.01x    
frame=  725 fps= 15 q=27.0 size=N/A time=00:00:48.33 bitrate=N/A dup=0 drop=721 speed=1.01x    
frame=  733 fps= 15 q=27.0 size=N/A time=00:00:48.86 bitrate=N/A dup=0 drop=729 speed=1.01x    
frame=  740 fps= 15 q=26.0 size=N/A time=00:00:49.33 bitrate=N/A dup=0 drop=736 speed=1.01x    
frame=  748 fps= 15 q=28.0 size=N/A time=00:00:49.86 bitrate=N/A dup=0 drop=744 speed=1.01x    
frame=  755 fps= 15 q=25.0 size=N/A time=00:00:50.33 bitrate=N/A dup=0 drop=751 speed=1.01x    
frame=  763 fps= 15 q=21.0 size=N/A time=00:00:50.86 bitrate=N/A dup=0 drop=759 speed=1.01x    
frame=  770 fps= 15 q=19.0 size=N/A time=00:00:51.33 bitrate=N/A dup=0 drop=767 speed=1.01x    
frame=  778 fps= 15 q=21.0 size=N/A time=00:00:51.86 bitrate=N/A dup=0 drop=774 speed=1.01x    
frame=  786 fps= 15 q=22.0 size=N/A time=00:00:52.40 bitrate=N/A dup=0 drop=782 speed=1.01x    
frame=  793 fps= 15 q=22.0 size=N/A time=00:00:52.86 bitrate=N/A dup=0 drop=789 speed=1.01x    
frame=  801 fps= 15 q=21.0 size=N/A time=00:00:53.40 bitrate=N/A dup=0 drop=797 speed=1.01x    
frame=  808 fps= 15 q=21.0 size=N/A time=00:00:53.86 bitrate=N/A dup=0 drop=804 speed=1.01x    
